timesteps,reward,best_reward
10000 , 265.9099960204214 , 421.3999932408333
20000 , 230.43499611765145 , 447.2999914288521
30000 , 231.9799962375313 , 981.0999841317534
40000 , 295.9399951416999 , 984.4999858662486
50000 , 183.65999696068465 , 418.6999930366874
60000 , 210.4349965404719 , 447.89999155700207
70000 , 208.86999657563865 , 529.2999908924103
80000 , 241.4649956572801 , 449.4999915957451
90000 , 305.0749946288764 , 727.9999868273735
100000 , 273.8549952097237 , 577.5999888628721
110000 , 277.28499523513017 , 493.0999913364649
120000 , 334.6299941398203 , 529.9999901652336
130000 , 297.9649950187653 , 491.89999134093523
140000 , 246.0349959358573 , 528.4999912977219
150000 , 289.19999507926406 , 984.5999852865934
160000 , 222.47999618761241 , 579.2999908104539
170000 , 269.54999508708715 , 491.49999068677425
180000 , 253.42999566830696 , 528.4999901950359
190000 , 281.24499504081905 , 526.0999907180667
200000 , 268.4549953524023 , 528.7999908551574
210000 , 254.39999560043216 , 727.5999869853258
220000 , 352.54999402724206 , 531.6999913677573
230000 , 327.87999417558314 , 595.6999889612198
240000 , 319.1999944061041 , 594.4999893009663
250000 , 328.19999412186445 , 448.99999137967825
260000 , 297.1499949712306 , 448.29999250918627
270000 , 298.94499470628796 , 525.5999900177121
280000 , 404.9699925567955 , 728.099986076355
290000 , 409.1849926311523 , 980.5999857261777
300000 , 452.88999216780064 , 813.7999848723412
310000 , 369.01999335885046 , 531.2999900206923
320000 , 463.78999158143995 , 728.4999874681234
330000 , 497.01499102599917 , 807.6999863311648
340000 , 394.2099932067096 , 978.9999852180481
350000 , 416.53499251157047 , 862.1999859064817
360000 , 446.9599919978529 , 803.4999861270189
370000 , 542.2199900224805 , 984.8999844416976
380000 , 489.539990850538 , 985.2999830469489
390000 , 591.2749886747449 , 977.0999831259251
400000 , 616.8049884673208 , 985.6999849304557
410000 , 452.489991530031 , 984.6999819204211
420000 , 441.5899918429553 , 986.0999852195382
430000 , 669.1049872972071 , 981.8999845385551
440000 , 451.4349917732179 , 729.1999860107899
450000 , 456.90499100200833 , 730.6999857574701
460000 , 349.87999339960515 , 643.799987450242
470000 , 556.0599891111254 , 728.199987322092
480000 , 528.3299897473305 , 985.2999809756875
490000 , 416.7749925263226 , 814.5999869704247
500000 , 441.66499207653106 , 986.7999835908413
510000 , 590.0549890760333 , 986.3999851718545
520000 , 468.4299918204546 , 985.399984203279
530000 , 341.4999938882887 , 730.2999860197306
540000 , 369.324993564561 , 986.2999838069081
550000 , 475.30499140769246 , 985.4999826848507
560000 , 492.6499915819615 , 986.1999826952815
570000 , 317.07999431230127 , 730.6999874189496
580000 , 578.3399890005588 , 816.7999839857221
590000 , 480.3099914897233 , 728.8999864161015
600000 , 443.58999229967594 , 986.5999868810177
610000 , 580.2549892768263 , 986.699983112514
620000 , 721.2699867930263 , 987.0999834686518
630000 , 551.1449899733067 , 986.5999808162451
640000 , 401.6449922587723 , 729.1999861299992
650000 , 465.70499165393414 , 986.199980802834
660000 , 439.9299927033484 , 985.6999833136797
670000 , 455.5599918860942 , 985.0999837517738
680000 , 415.6349927704781 , 984.5999858304858
690000 , 299.9899951744825 , 984.2999853864312
700000 , 440.8049919784069 , 986.2999851107597
710000 , 434.39999214671553 , 985.9999828487635
720000 , 682.1399882424623 , 986.5999832823873
730000 , 691.8549878396094 , 987.5999819859862
740000 , 543.2549904365093 , 986.6999875679612
750000 , 413.5749926391989 , 980.9999832734466
760000 , 490.5899913646281 , 985.9999813959002
770000 , 647.8999884944409 , 986.5999837592244
780000 , 668.5449881177395 , 986.6999849751592
790000 , 631.9349883217365 , 986.5999821648002
800000 , 715.2799872137606 , 987.0999813601375
810000 , 580.9349902335555 , 986.1999847143888
820000 , 558.9349898353219 , 986.7999833151698
830000 , 618.669988482073 , 987.2999839708209
840000 , 586.4549894683063 , 986.8999834731221
850000 , 621.1849887903779 , 985.799985229969
860000 , 500.1149912841618 , 731.5999871939421
870000 , 524.739991838485 , 983.199986115098
880000 , 453.60499241873623 , 987.3999838083982
890000 , 638.1849884394557 , 815.799984999001
900000 , 568.5349894814193 , 987.2999805212021
910000 , 569.3249891649932 , 986.5999816507101
920000 , 694.77498806566 , 985.399984113872
930000 , 697.2599878042936 , 987.0999827980995
940000 , 571.8649894781411 , 986.3999818265438
950000 , 539.3899900902063 , 816.6999864280224
960000 , 564.7599895119668 , 986.5999836474657
970000 , 615.3649886742235 , 985.299984626472
980000 , 574.8399891145527 , 731.4999863356352
990000 , 594.649989239499 , 987.4999845772982
1000000 , 512.8799909818918 , 983.6999848261476
1010000 , 617.8349894110113 , 986.3999819085002
1020000 , 558.9849899675697 , 986.9999839216471
1030000 , 511.1749905284494 , 986.9999814927578
1040000 , 605.7299892555923 , 986.2999829947948
1050000 , 546.9549903154373 , 987.1999847888947
