timesteps,reward,best_reward
10000 , 206.9750004529953 , 352.9000003412366
20000 , 250.555000378564 , 444.50000128895044
30000 , 275.73500042185185 , 488.70000041276217
40000 , 255.0600007083267 , 419.40000218153
50000 , 228.32500039190055 , 413.80000127851963
60000 , 222.52500051818788 , 414.8000016361475
70000 , 223.49000079371035 , 446.1000022739172
80000 , 231.140000558272 , 530.0000017732382
90000 , 302.5650008182973 , 595.7000025734305
100000 , 240.51500075496733 , 727.300002194941
110000 , 240.30500065796076 , 422.7000001296401
120000 , 236.3000007376075 , 416.1000020727515
130000 , 325.2100011117756 , 535.400001719594
140000 , 288.4850010484457 , 597.000002078712
150000 , 313.9500014178455 , 447.7000020816922
160000 , 235.25500083826483 , 422.5000016093254
170000 , 296.6000011112541 , 727.30000205338
180000 , 358.18500142917037 , 985.3000032380223
190000 , 281.3900010537356 , 421.4000019133091
200000 , 347.8650015410036 , 814.5000046268106
210000 , 536.4000023517758 , 984.60000295192
220000 , 378.00500157438216 , 596.9000028371811
230000 , 328.00500125586984 , 529.9000012204051
240000 , 330.9750011242926 , 814.8000026643276
250000 , 377.9250016454607 , 814.1000034809113
260000 , 346.00500137358904 , 530.1000017672777
270000 , 410.6700015861541 , 982.4000003635883
280000 , 432.2400018144399 , 729.9000019058585
290000 , 438.9700020797551 , 596.7000032067299
300000 , 408.5200018551201 , 725.6000026091933
310000 , 375.65500172637405 , 983.3000055924058
320000 , 403.0100020278245 , 728.0000043287873
330000 , 359.4950015373528 , 721.9000035822392
340000 , 355.96000163443387 , 813.6000042036176
350000 , 374.7500017516315 , 728.5000030994415
360000 , 366.18000163435937 , 529.4000027030706
370000 , 433.9400019343942 , 985.2000056654215
380000 , 488.55000210478903 , 986.0000038146973
390000 , 370.42000180482864 , 530.2000027298927
400000 , 445.3150020677596 , 985.2000050097704
410000 , 454.12500192523004 , 984.7000033780932
420000 , 234.51500085406005 , 880.2000035867095
430000 , 379.2200017403811 , 728.3000026792288
440000 , 428.4050019212067 , 728.4000034928322
450000 , 377.6950012888759 , 984.1000029221177
460000 , 534.8650022611022 , 986.0000044032931
470000 , 426.1550016347319 , 985.9000010192394
480000 , 427.72000178694725 , 986.1000018045306
490000 , 417.4200016777962 , 982.5000038892031
500000 , 279.42000108510257 , 730.8000029176474
510000 , 437.7850017011166 , 984.6000032648444
520000 , 534.9600022871048 , 987.0000039562583
530000 , 496.15500216446816 , 986.5000059381127
540000 , 523.1200022373348 , 986.1000036001205
550000 , 583.8650024376809 , 987.1000027731061
560000 , 632.345002540946 , 986.2000030204654
570000 , 467.06500202268364 , 985.8000011891127
580000 , 411.87000164687635 , 729.9000031575561
590000 , 542.1900025717914 , 986.2000065743923
600000 , 596.4150025140494 , 986.2000026479363
610000 , 623.3050026096404 , 987.5000050589442
620000 , 462.9150020420551 , 986.2000047266483
630000 , 618.7750028736889 , 987.000004298985
640000 , 351.0350016221404 , 730.5000036582351
